,Job Descriptions
1119,php developer job description develop deploy new feature module write bug free code web base application optimize pre write php code mysql query bring efficiency overall project perform unit testing require test debug clean code review code write team member need communicate discuss propose correct solution accord requirement need learn new technology base company requirement min 5 year experience job type time salary  72000000 year schedule day shift monday friday experience total work 5 year required education bachelor preferred
1120,php developer proficient php mysql sql laravel html css json javascript jquery ajax xml angular js zend core php mysql rest api json xml git svn require prove experience develop scalable reliable robust product good knowledge experience php laravel framework depth knowledge object orient php laravel 5 php framework minimum 25 year 25  year experience graduate male female apply framework experience education training web design development positive attitude deadline orientation good communication skill write verbal able work team environment exceptional trouble shoot skill work minimal supervision organize self starter high attention detail strong time management skill integration user face element develop end developer build efficient testable reusable php module solve complex performance problem architectural challenge write clean design code produce detailed specification troubleshoot test maintain core product software database ensure strong optimization functionality contribute phase development lifecycle follow industry good practice develop deploy new feature facilitate relate procedure tool necessary strong knowledge php web framework laravel yii etc depend technology stack understand fully synchronous behavior php understanding mvc design pattern basic understanding end technology javascript html5 css3 knowledge object orient php programming understanding accessibility security compliance depend specific project strong knowledge common php web server exploit solution understand fundamental design principle scalable application user authentication authorization multiple system server environment integration multiple datum source database system familiarity limitation php platform workaround create database schema represent support business process familiarity sql nosql database declarative query language proficient understanding code versioning tool git interview job location 91 894 702 7625 91 724 056 0001002 hrkriscentin careerkriscentin kriscent15 186 agrawal bhawan 1st floor shopping center kota rajasthan india
1121,wordpress developer urgent requirement web developer strong html wordpress knowledge experience 23 year ctc 40k location chennai important english communication strong job type time salary  3000000  4000000 month schedule morning shift experience total work 1 year preferred
1122,ios developer technical skills minimum 4 year experience ios development experience publishing application app store familiar process strong knowledge objective c swift 3 handle different screen size auto layout work chart experience design building app scratch understanding ios design principle design pattern good knowledge cocoapods open source library ios ecosystem work knowledge offline storage performance tuning working knowledge integrate restful webservice understanding test consideration mobile application experience mobile application design development debug release activity additional skills strong work ethic ability manage time outstanding teamwork skill excellent write verbal communication skill active listening skill demonstrate analytical ability experience manage andor mentor junior developer experience agile scrum development methodology ability understand user story experience jira version control tool like github
1123,stack developer job description look creative dynamic result drive developer engineer help u build roadmap totally awesome software service platform person motivate self starter passionate build high quality code finding innovative cutting edge solution tough problem constantly delight customer key responsibility collaborate designer developer solve complex problem area sale operation planning build test deploy maintain software service application participate feature estimation scoping manage time appropriately clearly communicate change effort scope write maintainable standard drive code qualification require 3  year experience develop server javascript application solid experience nodejs develop custom service integration user face element develop end developer server logic experience build end application reactjs definite plus solid experience work relational database specifically mysql write reusable testable efficient code design implementation low latency high availability performant application implementation security datum protection familiarity testing framework jasmine mocha familiarity task runner gulp grunt familiarity package manager npm bower familiarity version control git mercurial subversion exceptional attention detail design forward thinker collaborator humble attitude excite work forward think technology angular2 nativescript typescript firebase industry lead framework constantly contribute development community self motivate learner constantly seek new technology desire stack proficiency server development ie java nodejsexpress client development styling html cs react j application host deployment aw heroku database administration iemysql experience building integrate salesforcecom platform additional information information keep confidential accord eeo guideline
1124,php developer great opportunity kickstart career laravel getting train certified laravel developers start build heavy duty web application
1125,machine learning machine learning engineer kanpur ith technologies pvt ltd lead technology infrastructure development consult rm offer complete suite end end solution client partner globe build strong unique business relationship partner time charge money equity help create capital corporate entity stable future bring house like quality partner product combine practical industry specic knowledge cutting edge business management practice ensure client increase efficiency well business performance team passion develop deliver enterprise grade application passion dependent size enterprise able architect solution good late tech startup sme brainalive research brainalive technology research development company parent ith technology currently develop non invasive wearable bio signal acquisition monitoring system empower develop crisp conscious understanding physiology especially relate cognitive ability system acquire physiological parameter skin analyze acquire datum provide tangible conclusion form easily understandable interactive visual give clear image level involvement activity help understand factor influence brainalive ultimate goal help understand minimise element limit potential enhance overall productivity quality result role digital signal processing machine learning engineer look highly talented motivated digital signal processing dsp engineer preferably experience analyze biosignal join embedded robotics team team researcher engineer focus design implement algorithm advanced brain computer interface research development help power come generation eeg base human machine interface role responsibility conduct data processing analysis dsp technique method extract information eeg signal datum detection attribute mental state subject designing machine learning algorithm electro physiological signal numerical analysis language matlab python c cetc demonstrate algorithm meeting accuracy requirement general user population statistical analysis error estimation write technical report summarize development analysis training validation algorithm basic qualifications btechmtech ph d computer science electronics machine learning ai statistics equivalent strong technical skill deep understanding work experience exposure dsp implementation filtering transform datum visualization machine learning timing signal recovery willingness divert conventional method explore alternative approach knowledge optimization multi thread development cross platform development experience statistical analysis programming project datum analysis algorithm signal processing experience python c r matlab java similar scripting language preferred qualification 2 year industrial academic experience build ontology mapping extraction model experience real time signal processing experience advanced signal analysis physiologic signal require specific knowledge eeg prefer extensive practical experience follow area ml natural language processing ontology mapping clustering technique apply ml ai feature product system ability handle multiple compete priority fast pace environment significant peer review scientific contribution premier journal conference prove track record production achievement strong personal interest learn research create new technology high customer impact experience define research development practice applied environment superior verbal write communication presentation skill ability convey rigorous mathematical concept consideration non expert strong fundamental problem solve algorithm design complexity analysis
1126,java developer 08 december 2020 1 3 year bangalore 80000 p m monday friday 1000 630 keyword addthis sharing buttons share facebook share linkedin share email share copy link share algorithms java job description head quarter kolkata job location bangalore office company run 5 year working days monday friday 1000 630 position java developer bond work home till march responsibility responsible architecture design code review technology build deployment activity web application late spring boot framework help define implement scalable secure microservice architecture deliver customer centric product product development responsible deliver high quality code deliver define product feature direct impact customer experience define ensure correct code practice include test drive development methodology improvement development infrastructure follow agile sprint planning development process team player include mentor advise peer requirement experience code java similar object orient programming language excellent problem solver passion learn job stay date late technology web development bring innovation codebase preferable experience springmvc spring boot plus
1127,php developer job summary look php developer dedicate craft write code proud hit ground run knoxed infotech zeal expertise technology innovation dream reality iso tuv certify company experience market 10 year follow service provide services solution custom software development customer support graphic support client base uk germany dedicated department follow procurement sale human resources office location uk germany china believe support diversity team come different geographical location india believe add richness skill set knowledge product supply big brand feature famous international magazine having receive excellent star rating year remain committed provide client quality customize service business model allow expand grow knoxed infotech believe staff potential aim support staff develop skill comprehensive training development program line provide training facility employee like department training business skill development training purpose company invest rs 200000 believe enhance staff skill set prove mutually beneficial long run knoxed training details pdca plan check act 5w 1h quality module think act knoxed document process thinking color myers briggs learning delegate professionalism smart methodology meeting agenda structure responsibility duties maintenance enhancement current website system requirement gathering development testing maintenance new website application manage user access component company infrastructure base assessment user requirement security manage admin section company website create environment dreamweaver editor user develop application documentation design database coordinate ui design integrate mysql database php application maintain web base php application designing develop application website resolve issue relate php development different application key skills php mysql mvc js jquery html css ajax wordpress job type time salary  1800000  4000000 month schedule morning shift experience software development 2 year required education bachelor preferred licence core php preferred programming languages need html required css required php required work remotely
1128,javascript developer job description back promise strong knowledgecloud aws sql queries recommend good javascript oop programming javascript mandatory code standard syntax algorithm mandatorynode js unit test framework mandatory good problem solve required knowledge skills ability 3years experience back promise 3years experience cloud aws 3years experience sql queries 3years experience javascript 3years experience oop programming 00 800 year
1129,ios developer required skill proven experience software ios development deep familiarity swift cocoa touch experience party library api working knowledge general mobile landscape architecture trend emerge technology solid understanding mobile development life cycle understanding webservices json database core data sqlite understanding auto layouts familiarity cloud message api push notification understanding wi fi bluetooth module responsibilities duties design build advanced application ios platform collaborate cross functional team define design ship new feature unit test code robustness include edge case usability general reliability work bug fixing improve application performance job types time fresher schedule monday friday education bachelor required programming languages need objective c required swift required work remotely
1130,software engineer fw job sw eng01 publish 25 october 2019 fresher software engineer need proficient understanding software development method know aspnet java android development knowledge html css javascript engineering degree apply email resume job code subject careersflywheelsin
1131,software engineer requirements 3 5 year web application cloud application testing experience depth knowledge web application attack defence strategy sql injection xss cross site scripting csrf logic flaw etc experience scripting preferably python experience relational non relational database experience testing web service rest api experience linux environment virtualization excellent problem solve ability experience diagnose complex system issue include strong debugging skill desirable knowledge network protocol network technology penetration testing web application packet capture analysis experience tool include burp nessus metasploit knowledge selenium api automation building automation framework experience knowledge jmeter performance load stress testing knowledge recognise security testing certification
1132,ios developer interview location chennai work location coimbatore experience 1 5 year job description look mobile application developer possess passion mobile technology work generation payment gateway platform responsibility design build ios mobile application collaborate cross functional team analyze design ship new feature fully responsible mobile app development team build publish application app store implement new technology maximize application performance skill good experience objective c ios sdk good working knowledge cocoa touch experience memory management cache mechanism specific mobile device experience work ios framework core data core animation core graphics core text
1133,flutter developer minimum 6 month experience fresher apply provide sty fund fresher candidate web app developer job type time salary  1000000 month experience software development 1 year preferred work 1 year preferred php 1 year preferred total work 1 year preferred education bachelor preferred work remotely yes
1134,php developer immediate opening php wordpress developer middle east base company kakkanad kochi good understanding end technology include html5 css3 javascript jquery wordpress cms experience design develop responsive design website ability understand css change ramification ensure consistent style platform browser 2  year experience work wordpress php javascript html css ability commit fulfill tight deadline reliably skill css3 html javascript jquery wordpress php responsibilities duty php wordpress developing required experience qualification experience 0 2 year software development preferred graduation bca preferred proficient english preferred
1135,ios developer look android developer basic experience sql note have good exposure integration external party like payment gateways pos vendor knowledge kotlin look android developer basic experience sql note have good exposure integration external party like payment gateways pos vendor knowledge kotlin
1136,wordpress developer look wordpress developer have 1 3 year experience code wordpress theme plugin candidate good knowledge wordpress function hook widget etc code implement wordpress site photoshop layout html css custom theme function plugin ability compare photoshop layout coded page pick difference key design implement new feature enhancement content exist website create update usable code library streamline wordpress development cycle develop system test criterion participate system testing respond isolate resolve programming problem facilitate client wordpress training site documentation maintenance need position document experience deliver website wordpress understand strength weakness setup wordpress option plugin installation configuration expertise build responsive scalable site platform proficient php html5 css3 javascript jquery experience version control system like git svn etc bachelor degree high related field prefer
1137,django developer company antino labs private limited start ambition provide software service cutting edge technology ensure quality reliability work define standard proficient industry good practice plan overcome challenge experience previous company serve strive real difference create exceptional high perform web mobile app approach collaborative transparent focus make impact customer focus fast grow firm lead design develop website web application mobile application custom development work understand client requirement ability handle aspect end end development include clean design seamless development cycle document code internship job select intern day day responsibility include 1 develop web application python django 2 work customization oscar django framework 3 orm object relational mapper library 4 integrate database postgre mysql mongodb 5 develop rest api consume frontend 6 write frontend html css javascript apply student fresher apply available time office internship relevant skill interest start internship 19th oct20 23rd nov20 available duration 6 month graduate currently year study female willing start restart career apply number internship job available 2 category computer science stack development programming python django web development engineering
1138,node js developer design develop responsive web application workflow cloud platform n extensive experience nodejs react js lang python script n solid knowledge restful architecture use case n experience aws cloud service azure google cloud etc n knowledge secure programming principleshelp n proficient devops ci cd pipeline n experience development micro service base architecture n minimum work experience 5 8 year lead responsible manage small team analyst developer tester engineer drive delivery small module project delivery maintenence testing serve entry level specialist expertise particular technology industry domain process application product responsible functionalechnical track project
1139,node js developer overall experience 4 6 years3  year experience angular js project typescript strong html5 css javascript ajax json skill solid hand background angularjs jquery bootstrap strong customer focus excellent problem solve analytical skill excellent verbal write communication skill ability work rapidly change environment knowledge modern authorization mechanism json web token familiarity modern end build pipeline tools ability understand business requirement translate technical requirement knack benchmarke optimization familiarity code versioning tool git svn mercurial required immediate joiner job type time salary  40000000 year supplemental pay yearly bonus experience work 4 year required total work 5 year required education bachelor required work remotely
1140,flutter developer look experienced passionate product development love code skilled software developer base bangalore ready look involve product development involve analytical problem solve skill code requirement key skills require dart flutter android api integration google cloud min 3 year experience add advantage ui ux design development nodejs html css job type time salary  20000000  50000000 year benefit flexible schedule health insurance schedule day shift flexible shift supplemental pay performance bonus experience flutter 1 year required total work 1 year preferred javascript 1 year preferred education bachelor preferred
1141,node js developer specific responsibility role expect high standard engineering excellence practical experience build maintain internet scale application service work project managers organization help project release planning effort project deliver high quality write code quickly understand easily support maintain independently execute deliver new extend integration framework implement feature medium high complexity implement automate test case support code project requirement use continuous integration ci pipeline use agile methodology scrum deliver feature production actively communicate collaborate team member clearly precisely verbally write lean agile framework meet sprint planning objective nurture highly effective relationship internal business partner product management technical team system operation service support present communicate complex idea feature broad audience required skills 6  year experience software development minimum 2  year nodej good javascript good communication skill eagerness learn extra mile accomplish goal working knowledge linux git jenkins junit maven knowledge service oriented architecture experience design pattern datum structure knowledge cyber security plus mobile development experience plus experience java plus understanding experience object orient concepts plus soft skills quick learner communicate effectively stakeholder work cross functional team team player recommended skills mobile development experience android ios knowledge cyber security splunk dashboarding skill
1142,javascript developer proficient javascript web development experience javascript framework library familiarity cloud technology proficient understanding code versioning tool depth experience js framework react js react native angular experience entire mean mern stack big plus proficient css html write cross browser compatible code good analytical logical skill good communication skill english write verbal require experience 1 3 year expect start date 30112020 job type time salary  2500000  6000000 month schedule morning shift experience work 1 year required total work 1 year required javascript 1 year required education bachelor required work remotely
1143,java developer job title java intern experience level fresher job location noida sector62 qualification 3rd4th year engineering mca student type internship time job profile know technical skills software engineering agile methodology core java js html5 bootstrap android git bucket personality appeal communication write oral good possess zeal learn contribute idea benefit certificate internship stipend ppo 4th year student performance find extraordinary contact detail email d careersoraneconsultingcom
1144,stack developer deploy application production developer force pick extreme expensive simplistic platform like heroku complicate service like aw contrast render easy run quickly allow application scale increase complexity time prevent transition diy infrastructure goal completely free developer team manage infrastructure ultimately improve software enable entirely new kind application build product abstract complexity minimize cognitive overhead user require careful think high creativity deep understanding application requirement production stack react graphql kubernete terraform postgresql require prior experience look people high integrity low ego insatiable drive learn serve live application production building founding engineering design team sf company back venture fund cto vmware dropbox stack engineer render complete end end ownership project entire stack experience building product stack keen understanding web framework apis database multiple backend language join u solve problem face developer development team massive rapidly grow market aw privately value  200b 20 million professional developer globally user prefer u heroku aw signup early access waitlist stock grant 99th percentile market render 10 hire 10 company want infrastructure kubernete complex average development team render possible power kubernete complexity cto vmware dropbox big investor cheerleader company lead anurag goel wa employee 8 head risk stripe help stripe scale 10 400 people apply principle help stripe succeed render engineering render small team stack engineer complete end end ownership project expect review major code change pull request push well iterate quickly deploy production time day technical challenge big issue platform like heroku lack flexibility cost solve cost problem container kubernete intelligently scale compute resource continue major area engineering investment u go forward solve lack flexibility kubernete hood abstract associate complexity user benefit load balance service discovery autoscale health check self healing need manage kubernete build aws challenge build right user face abstraction simple application deployment effortless complex application deployment possible user experience primary focus drive project work create fun open source project documentation multiple language framework demo render feature run kubernete cluster google cloud platform enable render kubernete cluster run multiple cloud eventually datum center allow user connect render resource private vpcs aws gcp create effortless serverless abstraction render enable request billing containerize resource render currently support node ruby python elixir add rust runtime add support host run custom dockerfile use machine learn optimize container scheduling save resource keep user workload responsive render work great github repos add gitlab bitbucket integration build ability create manage team render involve fine grain access control render resource working render value high integrity low ego affinity continuous learning ability figure thing quickly open wrong love improve work reason discussion constant feedback trust respect tremendously easy benefit offer week pay vacation comprehensive health coverage cover 100 premium beautiful office south park sunny green oasis heart san francisco flex hour try 10 leave 6 pm 7 pm self impose rule break allow work home need maternal paternal leave build maxe mac ubuntu laptop peripheral accessory like order work environment ergonomic order work relate ebook p book company amazon account relocation assistance commuter benefit love hear
1145,flutter developer requirements cross platform app developer develop mobile app familiarity ionic flutter develop manage mobile application hybrid android ios platform mobile app architecture planning mobile app design optimization able provide solution improve mobile app quality understand emerge technology standard good practice bring mobile app product level continuously discover evaluate implement new technology framework maximize development efficiency estimate timeline deliver schedule solid knowledge mobile app development practice mobile testing tool technique expertise optimize app performance experience agile principle methodology deep understanding mobile landscape behavior pattern mandatory required skills experience web service http rest soap json good knowledge object orient design pattern multi threading concept good knowledge sqlite database google play services like push notifications strong mobile ui design multi screen resolution coding support maintenance knowledge html5 javascript party api like facebook twitter etc add advantage experience party library api proficient ios android mobile app experience plus job type time schedule day shift evening shift monday friday supplemental pay performance bonus yearly bonus experience app develop 2 year preferred total work 3 year required developer 3 year preferred education bachelor preferred location nashik maharashtra required work remotely
1146,network administrator technical non voice 2 year experience knowledge hardware troubleshooting viz cpu vna 55 salary 28k hand work home location whitefield technical non voice 2 year experience knowledge hardware troubleshooting viz cpu vna 55 salary 28k hand work home location whitefield
1147,flutter developer job responsibility analyze user need develop software solution work project manager product owner meet specification need recommend software upgrade optimize operational efficiency collaborate developer design optimize code document programming task procedure perform routine software maintenance qualifications previous experience software development computer engineering related field desire ability learn new concept tool work highly collaborative environment relate quality focus mindset 2  year professional software development experience java objective c kotlin swift flutter dart android andor ios development experience experience flutter strongly prefer rest micro service experience preferred strong verbal write communication skill deep understanding android event lifecycle thread deep understanding ios event lifecycle thread deadline detail orient strong analytical critical thinking skill touch interested world class cloud data solution revolutionize business wait question feature pricing need demo team ready answer question stop c79 c block sector 2 noida uttar pradesh 201301 drop concern infoprismberrycom ring phone 1 925 319 7231 india 91 935 003 9999
1148,flutter developer like organization drive enthusiasm orient global harmony individual empowerment foothill velliangiri mountain kilometer city coimbatore south india serve home isha yoga center center dedicate foster inner transformation create stable state individual large residential facility house active international community brahmacharis time volunteer visitor week thousand people converge center seek inner peace make vibrant hub spiritual growth activity read isha foundation purpose job develop late user face feature fast scalable job responsibility develop ui sadhguru app develop ui sadhguru exclusive website build quick proof concept new feature work closely backend developer designer copywriter qa product team big plus start experience ui ux design experience work flutter framework know build scalable web app run cloud computing platform like aws experience continuous integration deployment monitor require competencies educational qualification bachelor degree skill competencies 2  year professional experience develop high quality react native react js web app 4  year professional experience ui technology ship high quality android ios app write highly reusable react component know layout css experience 4  6years gender look candidate entrepeneural spirit egoless nature prove work ethic utmost integrity desire excel succeed self motivate passionate empathetic approachable love fun responsibility seriously contact phone 0422 2515609 2515610 email hrdishafoundationorg isha yoga center velliangiri foothills ishana vihar post coimbatore 641 114 tamil nadu india
1149,javascript developer nablasol look javascript developer work progressive web application reactjs angularjs nodej responsibility include lifecycle development web application global client responsibility analyze requirement propose software solution solve problem develop layout prototype ensure solution meet requirement write structure testable code follow set guideline maintain system monitor correct software bug provide operational support production application integrate multiple system different vendor seamless datum flow investigate new technology continue update technical skill required skills proficient javscript framework like react js angular js node js work knowledge php mysql html css jquery knowledge backbone js underscore js handlebars prefer experience server technology aws google cloud prefer hand experience crm system like sugarcrm prefer excellent analytical problem solving skills thoroughness attention detail ability work team manage workload ability learn new skill technology quickly awareness current issue affect industry technology education experience 1 4 year experience software development programming prior experience handle large production environment prefer bachelor degree field
1150,flutter developer job title flutter developer location malappuram kerala tech skills work flutter android application development excellent ability develop understand algorithms strong knowledge restful web services experience interacting web experience offline storage threading performance tuning strong knowledge push notifications strong knowledge api integrations analytical problem solving decision making skills knowledge ecommerce industry plus experience flutter 1  year job type time salary  2000000  6000000 month schedule monday friday benefit health insurance provident fund pf
1151,machine learning job description experience understand datum information management especially relate big data trend issue business experience building machine learn solution leverage specific machine learning architecture eg deep learning lstm convolutional network etc ability quickly learn understand work new emerge technology methodology solution cloud technology space experience architecte develop software infrastructure scalable distribute system 500 900 year
1152,wordpress developer look wordpress developer company mirror review media tech pericles venture pvt ltd company dream create platform unveil untold story entrepreneur venture mirror review media technology entity pericles ventures pvt ltd initial year mirror review magazine dream friend distinct personality goal goal create difference prove constructive box goal create special team extraordinary unstoppable goal mirror review platform giver bestow self confidence skill commitment teamwork box think team member roles responsibility look wordpress php developer convert html templates wordpress developer responsible end end development include create wordpress theme plugin position require combination programming skill php html5 css3 javascript apart technical skill developer strong sense aesthetic design understand arrangement screen color font choice etc candidate strong understanding wordpress content management system plugin experience responsive adaptive design strongly preferred understanding entire web development process include design development deployment beneficial preferred skills proficient wordpress php mysql css html javascript jquery perks fix shifts 5 day week 3 month training provide company performance bonus day shift 1000 am 700 pm monday friday week saturday sunday fix job location bhumkar chowk wakad pune expect start date 9122020 job type time salary  1200000  1500000 month schedule day shift supplemental pay performance bonus experience wordpress 1 year preferred work 1 year preferred total work 1 year preferred education bachelor preferred speak employer 91 7798822856
1153,java developer java solutions developer lead edje remote welcome united states remote work home welcome lead edje help partner solve complex business challenge build high quality custom softwareand well 2007 hone unique culture promote high positive energy entrepreneurial spirit firm exceptionally talented professional deliver exceptional result client span wide variety industry common goal choose partner provide distinct creative solution choose work live deliberately uncompromise core value put team dedicate growth right thing right thing approach problem solving passionately authentic clear absolute team member share value embrace professionally personally qualification interested qualified candidate eligible work united states able sponsor visa ideal solutions developer creative thinker thrive innovation think outside box understand approach complex issue critical deliver solution time budget today complex business environment ability provide real time information tie different technology seamless solution imperative lead edje team member edjers continuous learner passionate technology thrive keep late technology trend advantage opportunity grow skill knowledge edjers great team player dependable reliable good communicator open minded respect opinion honest transparent flexible ideal candidate authentic personable ego centric recognize team success responsibility responsibility java solutions developer include limit follow ability perform basic analysis task minimal supervision ability translate business functional specification code ability adapt learn new technology assistance ability work individually team environment specification require minimum 3 year professional hand java development experience relevant experience information technology field ability demonstrate competency development language tool attitude strong passion technology willingness learn new skill effective write verbal communication skill include listen skill preferred require help java 7 new experience cloud platform knowledge common software development methodology sdlc scrum agile atdd etc follow javascript jquery anglularjs bootstrapjs typescript ruby struts mvc framework hibernate j2ee html css spring maven junit mocking frameworks experience unit integration testing java junit testng javascript jasmine mocha sense humor set lead edje apart company leadership say found 2007 lead edje stable organization focus organic growth provide quality quantity family friendly culture focus team member personal professional growth opportunity advancement respect technical community provide superior service team players respect trust team say fun inspiring engage work environment extremely talented employee passion right thing client team image effective communication level position lead edje truly company practice preach leadership team openly accept feedback work come fair solution professional growth encourage enforce individual level supportive trusting open relationship commitment team
1154,database administrator job like job summary enter review analyzes datum database ensure integrity user datum decision affect user access document record attribute formulate database query retrieval script review database design integration system provide backup recovery manage administrative technical interface database customer develop train technical guideline customer primary duty responsibility plan coordinate administer computerize database include index structure user documentation long range requirement operational guideline protection ensure accuracy completeness datum access restriction support tool datum index maintain improve network base computing system engineering workstation work database administrator training problem resolution work administrator software vendor developer meet need customer respond inquiry solve problem provide information direction user maintain relevant computerize record file database include backup log journal compliance sandia national laboratory procedure position support 247365 facility require rotate day andor night 12 hour shift 3 on2 off2 on3 schedule nature include mandatory overtime 5 12 hour shift give 10 day period ability work shift 24 hour day 7 day week operation rotational basis include weekend holiday mandatory overtime able meet schedule production deadline multiple priority occasionally condition urgency pressure situation knowledge skill ability skill information base database skill utilize software diagnostic tool ability understand application utilization software package ability conduct appropriate troubleshooting process conduct appropriate upgrade ability maintain accurate record ability effectively communicate customer vendor database administrator ability develop training material process relevant database knowledge computer operating system platform network environment support database support wide range computer hardware include server file storage subsystem workstation peripheral addition database knowledge operating system include unix linux window monitor overall operation network intervene bottleneck normal behavior occur responsible network security system administration monitoring operation computer equipment associate software able obtain us department energy government agency oga security clearance position qualification require require high school diploma equivalent active us department energy doe grant q level security clearance active clearance u government agency eg dod consider position ability obtain maintain sci clearance require polygraph test qualification desire experience working mission focus environment access sensitive classified information team special program department spd responsible managing execute variety classify effort snl california site include sensitive compartmente information sci special access program effort entail provide communication service variety customer spd work closely national nuclear security administration nnsa department defense dod intelligence community ic accomplish effort sandia sandia national laboratory nation premier science engineering lab national security technology innovation team specialist focus cutting edge work broad array area main reason love job challenge work amazing impact contribute security peace freedom worldwide extraordinary co worker good tool equipment research facility world career advancement enrichment opportunity flexible schedule generous vacation strong medical benefit competitive 401k learn opportunity relocation assistance amenity aim create solid work life balance world change technology life change career learn sandia http wwwsandiagov benefit vary job classification security clearance position require department energy doe grant q level security clearance start position require active department energy doe grant q level security clearance active clearance u government agency eg dod consider position sandia require doe directive conduct pre employment drug testing pre employment background review include personal reference check law enforcement record credit check employment education verification applicant employment able obtain maintain doe q level security clearance require us citizenship applicant offer employment sandia subject federal background investigation meet requirement access classify information matter duty position require doe security clearance substance abuse illegal drug use falsification information criminal activity misconduct indicator untrustworthiness cause clearance deny terminate doe render inability perform duty assign result termination employment eeo qualified applicant receive consideration employment regard race color religion sex sexual orientation gender identity national origin disability veteran status ind123
1155,network administrator look support administrator fresher apply troubleshoot problem report user analyze isolate issue proactively monitor product service site performance time availability analyze log metric user management keep log employee create maintain edit deletion maintain smooth operation computer system include coordination network software chromebook desktop end user application owner hardware assembling troubleshooting computers laptop chromebook printers troubleshoot type hardware software network lan relate issue provide good support internal client organization handle escalation internal external customer installation windows os ms office service packs software party applications etc instal configure antivirus software customer requirement work vendor purchasing rent laptop desktop upgrade system new release model support determination local customer need yearly budgeting process request proposal process support g suite team initial level client support email call fit btech graduate minimum 1 year experience good understanding knowledge software hardware knowledge cloud computing hand experience system administrator administrator similar role knowledge configuration operating system laptop desktop knowledge system security eg intrusion detection system dlp datum backup recovery resourcefulness problem solve attitude knowledge mailing solution like g suite o365 etc job type time experience support 0 2 year preferred work 0 2 year preferred total work 0 2 year preferred education secondary10th pass preferred whatsapp cv 9i76 17 57 33 10 hr team
